competition,matches,clusters,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,3502,-0.00016769499794866757,-0.0006024549894780116,0.0002892013179584309,False,False
UCL,1384,1056,-0.0004832235346366806,-0.0013344385376787412,0.00041756645317629415,False,False
UECL,2073,1291,3.1298239661843774e-05,-0.0005970450865587629,0.0006512884244955082,False,False
UEL,1427,1155,-0.00015075140074500944,-0.0009594966588698191,0.0006503605724391918,False,False
