fold,test_season,model,goal_weight,goal_cap,matches,brier,log_loss,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation
1,2020/21,goal_margin,0.5,2.0,540,0.16466945041954936,0.5952479192404794,160.49807691694764,9.094947017729282e-13,547.6243886738421,0.943011832495281
1,2020/21,matched_baseline,0.0,1.0,540,0.1649696076944384,0.596014341181571,89.25600546183597,4.547473508864641e-13,432.8579741903004,0.9533262779473513
2,2021/22,goal_margin,0.25,1.75,816,0.155664650012652,0.6140753655999479,121.96830192848891,4.547473508864641e-13,489.57033469366434,0.9237892110287583
2,2021/22,matched_baseline,0.0,1.0,816,0.15630735606899296,0.6156797591585403,91.21908982679307,9.094947017729282e-13,398.78154066545676,0.9277213567254835
3,2022/23,goal_margin,0.5,2.0,804,0.16182517604738583,0.6256182746785498,138.44975689859567,4.547473508864641e-13,581.1788333121358,0.9132229444868191
3,2022/23,matched_baseline,0.0,1.0,804,0.16224447255919747,0.6270093518726129,89.47772548574989,4.547473508864641e-13,480.29908351571703,0.9232884795634537
4,2023/24,goal_margin,0.5,2.0,806,0.15352188804732872,0.5999678932289391,147.57440787482244,9.094947017729282e-13,604.239863394205,0.8994186223480354
4,2023/24,matched_baseline,0.0,1.0,806,0.15349782877458665,0.6000941446736606,92.16345226256496,9.094947017729282e-13,470.8783248264631,0.9115734659520616
5,2024/25,goal_margin,0.25,1.75,957,0.16986185158445827,0.624178156661745,109.6187551571192,9.094947017729282e-13,451.40461253820524,0.9003209063893693
5,2024/25,matched_baseline,0.0,1.0,957,0.16945570800217064,0.6231304937165408,92.78642070698487,9.094947017729282e-13,434.13307299931284,0.9045104922238401
6,2025/26,goal_margin,0.25,1.75,961,0.17036188678774444,0.6281551862110409,107.98383957555873,9.094947017729282e-13,517.092950061259,0.9032314314798668
6,2025/26,matched_baseline,0.0,1.0,961,0.17057358927073096,0.6286208310300252,90.8699926599117,9.094947017729282e-13,506.3378533270459,0.908529354033241
