competition,matches,model_brier,baseline_brier,brier_difference,log_loss_difference
UCL,1384,0.15730826070122647,0.15779148423586314,-0.0004832235346366731,-0.001388614877202321
UECL,2073,0.1656622268433854,0.16563092860372358,3.1298239661831095e-05,-6.819001616853448e-05
UEL,1427,0.16463425161712666,0.16478500301787166,-0.00015075140074499727,-0.00022768609627965564
