fold,train_seasons,test_season,core_scale,core_home_advantage,core_k,power_carry,selected_goal_weight,selected_goal_cap,train_brier_difference
1,2018/19|2019/20,2020/21,1021.2418300653596,185.68033273915628,103.98098633392752,0.85,0.5,2.0,-0.00044484592660129496
2,2018/19|2019/20|2020/21,2021/22,928.4016636957816,148.54426619132505,103.98098633392752,1.0,0.25,1.75,-0.0002307350613144632
3,2018/19|2019/20|2020/21|2021/22,2022/23,928.4016636957816,148.54426619132505,103.98098633392752,0.85,0.5,2.0,-0.0004893689484506691
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,928.4016636957816,148.54426619132505,103.98098633392752,0.9,0.5,2.0,-0.0004394402633589589
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,835.5614973262034,148.54426619132505,103.98098633392752,0.9,0.25,1.75,-0.0002632423628252112
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,835.5614973262034,148.54426619132505,103.98098633392752,0.85,0.25,1.75,-0.00017037482000170634
