season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2020/21,Albania,ALB,2.125,0.875,2.625,1.0,0.75,7.375,38
2020/21,Andorra,AND,0.166,0.166,0.166,0.833,1.5,2.831,54
2020/21,Armenia,ARM,1.625,1.125,0.625,1.5,2.75,7.625,36
2020/21,Austria,AUT,3.8,7.375,9.75,6.2,5.8,32.925,12
2020/21,Azerbaijan,AZB,4.375,4.25,4.375,2.375,3.375,18.75,26
2020/21,Belarus,BLS,5.125,3.0,3.25,5.0,2.5,18.875,25
2020/21,Belgium,BEL,7.4,12.5,2.6,7.8,7.6,37.9,8
2020/21,Bosnia-Herzegovina,BOS,1.5,0.5,1.375,2.0,1.5,6.875,40
2020/21,Bulgaria,BUL,1.0,4.25,4.0,4.0,4.125,17.375,27
2020/21,Croatia,CRO,4.5,5.125,5.125,5.75,4.375,24.875,20
2020/21,Cyprus,CYP,3.0,5.5,7.0,6.125,5.125,26.75,16
2020/21,Czechia,CZE,7.3,5.5,5.5,6.5,2.5,27.3,15
2020/21,Denmark,DEN,5.5,8.5,5.25,4.875,5.125,29.25,13
2020/21,England,ENG,14.25,14.928,20.071,22.642,18.571,90.462,2
2020/21,Estonia,EST,1.0,1.375,0.625,0.5,0.875,4.375,51
2020/21,Faroe Islands,FAR,0.375,0.375,0.75,1.125,1.125,3.75,53
2020/21,Finland,FIN,1.0,1.75,1.25,0.875,1.625,6.5,43
2020/21,France,FRA,11.083,14.416,11.5,10.583,11.666,59.248,5
2020/21,Georgia,GEO,0.625,1.125,0.125,1.625,2.25,5.75,44
2020/21,Germany,GER,16.428,14.571,9.857,15.214,18.714,74.784,3
2020/21,Gibraltar,GIB,0.75,1.5,0.5,1.0,1.0,4.75,49
2020/21,Greece,GRE,5.4,5.8,5.1,5.1,4.9,26.3,18
2020/21,Hungary,HUN,1.625,1.875,1.625,3.25,4.5,12.875,33
2020/21,Iceland,ISL,1.125,1.0,1.125,1.5,0.625,5.375,46
2020/21,Ireland,IRL,0.7,2.625,1.125,1.0,1.25,6.7,42
2020/21,Israel,ISR,2.25,6.75,5.625,2.625,2.375,19.625,23
2020/21,Italy,ITA,11.5,14.25,17.333,12.642,14.928,70.653,4
2020/21,Kazakhstan,KAZ,4.625,2.75,4.25,4.25,3.375,19.25,24
2020/21,Kosovo,KOS,0.0,0.0,0.0,2.5,1.5,4.0,52
2020/21,Latvia,LAT,1.625,1.375,0.75,1.625,2.25,7.625,37
2020/21,Liechtenstein,LIE,5.0,2.5,2.0,1.5,2.5,13.5,31
2020/21,Lithuania,LIT,0.75,0.5,2.375,2.625,1.625,7.875,35
2020/21,Luxembourg,LUX,0.75,0.75,0.875,2.625,3.0,8.0,34
2020/21,Malta,MLT,0.875,1.25,1.375,1.5,0.75,5.75,45
2020/21,Moldova,MOL,1.25,0.875,2.75,1.125,0.75,6.75,41
2020/21,Montenegro,MON,1.0,0.875,1.125,0.375,1.0,4.375,50
2020/21,Netherlands,NED,5.75,9.1,2.9,8.6,9.4,35.75,10
2020/21,North Macedonia,MAC,1.5,1.25,3.125,1.0,0.5,7.375,39
2020/21,Northern Ireland,NIR,0.75,0.5,0.75,0.5,2.375,4.875,48
2020/21,Norway,NOR,7.25,1.375,4.0,5.375,3.75,21.75,22
2020/21,Poland,POL,5.5,3.875,2.875,2.25,2.125,16.625,29
2020/21,Portugal,POR,10.5,8.083,9.666,10.9,10.3,49.449,6
2020/21,Romania,ROM,2.25,3.3,2.9,2.375,5.875,16.7,28
2020/21,Russia,RUS,11.5,9.2,12.6,7.583,4.666,45.549,7
2020/21,San Marino,SMA,0.0,0.0,0.166,0.5,0.0,0.666,55
2020/21,Scotland,SCO,3.0,4.375,4.0,6.75,9.75,27.875,14
2020/21,Serbia,SRB,4.25,2.875,6.375,6.0,6.0,25.5,19
2020/21,Slovakia,SVK,3.75,2.125,1.875,5.125,3.0,15.875,30
2020/21,Slovenia,SLO,1.0,2.25,4.625,3.125,2.0,13.0,32
2020/21,Spain,ESP,23.928,20.142,19.714,19.571,18.928,102.283,1
2020/21,Sweden,SWE,4.75,2.75,5.375,4.125,5.75,22.75,21
2020/21,Switzerland,SUI,5.3,4.3,6.5,3.9,6.4,26.4,17
2020/21,Türkiye,TUR,6.6,9.7,6.8,5.5,5.0,33.6,11
2020/21,Ukraine,UKR,9.8,5.5,8.0,5.6,7.2,36.1,9
2020/21,Wales,WAL,1.5,1.0,0.5,1.0,1.0,5.0,47
