competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,8.753452217693074e-07,-3.904246112458634e-06,5.466729862008702e-06,False,False
UCL,1384,2.2734887127072446e-06,-1.0152556964578142e-05,1.3755953978149426e-05,False,False
UECL,2073,8.05714256164139e-08,-3.714742637666073e-06,3.97940718846557e-06,False,False
UEL,1427,6.73898471921265e-07,-9.519387538504845e-06,1.007306939355685e-05,False,False
