competition,matches,progression_brier,core_brier,brier_difference,progression_log_loss,core_log_loss,log_loss_difference
UCL,1384,0.1607624917695486,0.1607602182808359,2.273488712706273e-06,0.6059692468675796,0.6059640968328376,5.150034741996379e-06
UECL,2073,0.16679877441902838,0.1667986938476028,8.057142558692831e-08,0.6299436651848161,0.6299438210482057,-1.5586338952822132e-07
UEL,1427,0.16909789423046628,0.16909722033199437,6.738984719145691e-07,0.6299953978216659,0.6299934307301964,1.9670914694902564e-06
