fold,train_seasons,test_season,core_scale,core_home_advantage,core_k,selected_progression_ratio,selected_stage_profile,train_brier_difference,challenger_progression_ratio,challenger_stage_profile,challenger_train_brier_difference
1,"2018/19,2019/20",2020/21,275.0,50.0,28.0,0.0,FLAT,0.0,0.125,LATE_STRICT,1.0333489877945023e-06
2,"2018/19,2019/20,2020/21",2021/22,250.0,40.0,28.0,0.0,FLAT,0.0,0.125,LATE_STRICT,3.1298241353616696e-06
3,"2018/19,2019/20,2020/21,2021/22",2022/23,250.0,40.0,28.0,0.0,FLAT,0.0,0.125,LATE_STRICT,2.9896973072485178e-06
4,"2018/19,2019/20,2020/21,2021/22,2022/23",2023/24,250.0,40.0,28.0,0.0,FLAT,0.0,0.125,SEMIFINAL_HEAVY,9.70909693059907e-07
5,"2018/19,2019/20,2020/21,2021/22,2022/23,2023/24",2024/25,225.0,40.0,28.0,0.0,FLAT,0.0,0.125,SEMIFINAL_HEAVY,5.955273545410478e-07
6,"2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25",2025/26,225.0,40.0,28.0,0.0,FLAT,0.0,0.125,LATE_STRICT,7.039272732489721e-07
