season,matches,progression_events,nonzero_progression_events,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_progression_delta,start_end_rank_correlation
2018/19,735,250,28,0.15531642365582574,0.616387079943976,-9.593825968068862e-16,28.428482289467844,128.50652568897158,2.8131409687813336,0.9594823125560029
2019/20,721,250,28,0.16034847029168897,0.6237048296996801,0.0,28.524802558478743,106.74990133437882,2.211108176362812,0.9444307222996472
2020/21,540,250,28,0.16580981746320672,0.5995224985800507,0.0,24.335616517520833,117.02146365380474,2.219849368170647,0.9677955284237703
2021/22,816,267,41,0.1562001998078506,0.6161647946366877,1.4390738952103295e-15,28.463368974830267,106.36464151130122,2.2946198004546345,0.941323407715371
2022/23,804,261,42,0.16564893114248644,0.6348322757405963,-4.879263421528585e-16,30.97854795013347,117.27891742296333,2.3334894646270707,0.9433047589773949
2023/24,806,262,42,0.15745128581932696,0.6096089335285699,0.0,28.202380814644886,82.66856478545026,2.2543176405093313,0.9374640882813654
2024/25,957,282,42,0.16981131502398006,0.624114690028466,-9.634477773018308e-16,30.869158380474648,100.67226616216806,2.789837110785669,0.9385923028114684
2025/26,961,284,42,0.17502231573383864,0.6390740178767311,-2.8903433319054925e-15,33.43096626356013,97.21779604097253,2.7254164885881473,0.9417548056074168
