progression_ratio,stage_profile,matches,progression_events,nonzero_progression_events,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_progression_delta,start_end_rank_correlation
0.125,LATE_STRICT,6340,2106,293,0.1636528129097448,0.6218369317484705,-4.827532691195922e-16,29.15416546863885,128.50652568897158,2.8131409687813336,0.9374640882813654
0.0,FLAT,6340,2106,0,0.16365281343435142,0.6218366241900113,-6.02676093720453e-16,29.03815628863108,127.91296938412597,0.0,0.9375849061905133
0.25,LATE_STRICT,6340,2106,293,0.16365294197315114,0.6218375011705837,-5.439980797493562e-16,29.280447472533965,129.09235410326414,5.601653262651411,0.9373423337992786
0.125,SEMIFINAL_HEAVY,6340,2106,437,0.16365298912131326,0.6218369434395739,-4.848119182163911e-16,29.18210640791186,128.79431207450136,3.245042668869838,0.9375174729388958
0.125,LATE_BALANCED,6340,2106,437,0.16365311409836847,0.6218368978915547,-6.034514004081959e-16,29.20242820938161,129.33823214074278,2.702111331826554,0.937525902095348
0.25,SEMIFINAL_HEAVY,6340,2106,437,0.16365336478411996,0.6218376728244865,-1.814152502195045e-16,29.338713322730744,129.66111318197534,6.459920675791787,0.9373704309874524
0.5,LATE_STRICT,6340,2106,293,0.16365357721410914,0.621839399801782,-5.442587241628994e-16,29.563255471999064,130.24108336584322,11.183460410778567,0.9372926954335046
0.25,LATE_BALANCED,6340,2106,437,0.16365369702697052,0.6218377610683937,-6.039660067621181e-16,29.380167440483245,130.7482244494895,5.375017435465198,0.9374369276661306
0.5,SEMIFINAL_HEAVY,6340,2106,437,0.1636546949561933,0.6218403149262363,-3.0390492739930966e-16,29.689037379461382,131.35188454648267,12.90099770373146,0.9373142366111047
0.75,LATE_STRICT,6340,2106,293,0.16365469591558268,0.6218422693472264,-6.034448297755868e-16,29.88536858930987,131.35968267107842,16.79940670495634,0.937310490319348
0.5,LATE_BALANCED,6340,2106,437,0.16365567667598274,0.6218411815993785,-3.01852737094565e-16,29.77496841933369,133.52362211540049,10.720450632306527,0.937273027401783
1.0,LATE_STRICT,6340,2106,293,0.16365627499683782,0.6218460604638582,-4.824991953386583e-16,30.245489150966435,136.23983234802301,22.43160620485001,0.9371821798266874
0.75,SEMIFINAL_HEAVY,6340,2106,437,0.163656762297845,0.6218444587544607,-4.832744461061237e-16,30.087327491365492,134.17980376269588,19.381769559957352,0.9371428437632439
0.75,LATE_BALANCED,6340,2106,437,0.1636586873780985,0.6218467413775861,-4.822451215577242e-16,30.220328245806204,136.24163911107712,16.08615087275324,0.9370978882621657
1.0,SEMIFINAL_HEAVY,6340,2106,437,0.16365952607065706,0.6218500163345181,-4.824991953386583e-16,30.53167817006121,140.77663954414368,25.8865663651589,0.9369883092282875
1.0,LATE_BALANCED,6340,2106,437,0.16366266585252237,0.6218543023788,-4.842907412298598e-16,30.71392990587877,141.2388238856663,21.46106391523702,0.9368749839026527
0.125,KNOCKOUT_ASCENDING,6340,2106,2085,0.16368025775898176,0.6218946626554797,-3.0598340023449095e-16,29.333694988258344,129.66024572279798,2.7006901999344097,0.9372084038689829
0.125,GENTLE_ASCENDING,6340,2106,2085,0.1637086216167431,0.6219550320462641,2.367705931406316e-16,29.503151556167804,130.48964892955007,2.822672108987161,0.9368206626721832
0.25,KNOCKOUT_ASCENDING,6340,2106,2085,0.16370906189551024,0.6219558255199782,4.17423622017334e-16,29.643462764393597,131.39396636008644,5.36938120879149,0.9366754938666182
0.125,FLAT,6340,2106,2085,0.1637682512791883,0.6220829863160211,-1.2120633477074925e-16,29.753836502089563,131.14033741692822,2.950401171966626,0.9357969884497144
0.25,GENTLE_ASCENDING,6340,2106,2085,0.16376914102787518,0.6220844005833395,-2.827552912765045e-18,29.99129138638094,133.04988812288298,5.632206355299261,0.9356611853735407
0.5,KNOCKOUT_ASCENDING,6340,2106,2085,0.16377070817319075,0.6220874091130771,-1.8039244038343675e-16,30.303792646829272,134.82178055154202,10.708215877541608,0.9355544160584799
0.75,KNOCKOUT_ASCENDING,6340,2106,2085,0.16383767047466957,0.6222311507567663,3.590128790126669e-16,31.015420300385802,138.19852271465163,16.06121099258256,0.9336550461379245
0.25,FLAT,6340,2106,2085,0.16390108587949323,0.6223699744198901,-2.419110366919621e-16,30.505862334388418,134.35963609470946,5.900802343933252,0.933066878332151
0.5,GENTLE_ASCENDING,6340,2106,2085,0.1639042282629579,0.622375655578795,-6.177272600973691e-17,31.032084166340756,138.12294664762203,11.211949718934969,0.9328449105455774
1.0,KNOCKOUT_ASCENDING,6340,2106,2085,0.163909868896732,0.6223868363506512,6.046950394202092e-17,31.77474791183451,143.53233640347844,21.421166102452965,0.9325742409661688
0.75,GENTLE_ASCENDING,6340,2106,2085,0.16405790070462775,0.6227096864988865,2.367706490609091e-16,32.15118877129099,143.1359918919278,16.739409742857802,0.930288066421753
0.5,FLAT,6340,2106,2085,0.16421881076128655,0.6230643037760527,5.750343370581298e-16,32.10592907967748,140.7758459406141,11.801604687866504,0.9280112576067286
1.0,GENTLE_ASCENDING,6340,2106,2085,0.16422997882727108,0.6230858318479089,3.323677614965298e-16,33.340099652974985,150.18069376159713,22.21476818767755,0.9276647256192504
0.75,FLAT,6340,2106,2085,0.1646056038405357,0.6239167633769126,-6.908200397270106e-16,33.815231505092726,147.1653953805121,17.702407031799755,0.9234098747567839
1.0,FLAT,6340,2106,2085,0.16506091984188603,0.6249248511707474,-3.600356888487347e-16,35.614932354903715,153.53233832766693,23.60320937573301,0.9188546476303459
