candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count,raw_score_spearman
c0_e0_x0,2023/24,UECL,178,0.44509989612718864,0.6559748023397828,0.5777777777777777,0.24091023860623653,23,0.2892037127503664,0.18172936003908155,4,0.3502162507537031
c0_e0_x0,2024/25,UCL,81,0.5431189784652765,0.694048357098574,0.47619047619047616,0.2168876695625667,6,0.1810699588477366,0.09465020576131687,1,0.4713238154266587
c0_e0_x0,2024/25,UEL,76,0.5286625614086156,0.6865724381625442,0.631578947368421,0.2193559556786704,9,0.2353801169590643,0.14546783625730994,1,0.4414386443961296
c0_e0_x0,2024/25,UECL,164,0.425616924440859,0.6523289333940222,0.4878048780487805,0.2372843545508626,31,0.24685287175452403,0.19099134539732499,7,0.36294339832960587
c0_e0_x0,2025/26,UCL,82,0.4856362284752009,0.6768810679611651,0.42857142857142855,0.23364069006543725,1,0.03658536585365854,0.03658536585365854,0,0.4332182888691667
c0_e0_x0,2025/26,UEL,77,0.40144862817091376,0.6327509421034601,0.55,0.24810254680384553,6,0.19913419913419914,0.10173160173160174,1,0.4300506417158352
c0_e0_x0,2025/26,UECL,164,0.4284730869502619,0.6476421164181364,0.4634146341463415,0.24486912552052348,23,0.23780487804878053,0.15045068928950162,3,0.328474240593087
c0_e0_x0p333333,2018/19,UCL,79,0.547579801670049,0.6992456543128894,0.6,0.21022272071783368,1,0.6582278481012658,0.0,0,0.5502194809743612
c0_e0_x0p333333,2018/19,UEL,213,0.4639939599180607,0.6606527286564893,0.5740740740740741,0.2343450373603121,30,0.21760563380281686,0.15586854460093896,4,0.3976315117141233
c0_e0_x0p333333,2019/20,UCL,79,0.4540861765311157,0.6606734226871527,0.5,0.2425893286332318,3,0.2679324894514768,0.02742616033755273,0,0.44041054463081053
c0_e0_x0p333333,2019/20,UEL,213,0.41419296461856725,0.6396907677182948,0.42592592592592593,0.2539839978840177,25,0.25333333333333335,0.18967136150234742,6,0.36634989599571705
c0_e0_x0p333333,2020/21,UCL,79,0.4511216892205438,0.6552623004235908,0.55,0.237622175933344,1,0.07594936708860761,0.07594936708860761,0,0.4716701165610301
c0_e0_x0p333333,2020/21,UEL,213,0.42776112611520195,0.6535029004908522,0.5740740740740741,0.24410941391699179,34,0.20933443800055232,0.13407898370615853,5,0.4249265932682691
c0_e0_x0p333333,2021/22,UCL,80,0.46207224078740816,0.6567164179104478,0.5,0.24281250000000001,0,0.0,0.0,0,0.4506922746301453
c0_e0_x0p333333,2021/22,UEL,58,0.47638237380562504,0.6642424242424242,0.4,0.23781212841854937,1,0.08620689655172412,0.0,0,0.39574598008228373
c0_e0_x0p333333,2021/22,UECL,181,0.4283137123968776,0.650677271032683,0.5652173913043478,0.24852721223405877,31,0.24817323115309217,0.16574585635359115,4,0.3554430274577371
c0_e0_x0p333333,2022/23,UCL,78,0.37380873207343457,0.6314907872696818,0.55,0.2501643655489809,2,0.05448717948717949,0.04487179487179488,0,0.3589146377145118
