candidate,pilot_guardrails_pass,pilot_guardrail_violations,pilot_top_team,pilot_top_rating,ratings,reference_band_share,median_rating,p90_rating,minimum_rating,maximum_rating,exact_500_or_2000_count,elite_duplicate_rating_count,distribution_guardrails_pass
c0_e0_x0,True,,Arsenal,1992.8698752228167,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True
c0_e0_x0p333333,True,,Arsenal,2004.7534165181228,1887,0.9809220985691574,1076.5635231649287,1764.46819103107,651.4949936787367,2017.2970436619319,0,0,True
c0_e0_x0p666667,True,,Arsenal,2016.6369578134286,1887,0.9607843137254902,1077.1628179417426,1781.7458568270888,651.4949936787367,2038.5059193354223,0,0,True
c0_e0_x1,True,,Arsenal,2028.5204991087348,1887,0.9523052464228935,1077.1628179417426,1798.5997814267125,651.4949936787367,2059.714795008913,0,19,False
c0_e0p25_x0,True,,Arsenal,2038.21342697111,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True
c0_e0p25_x0p333333,True,,Arsenal,2051.5195110663626,1887,0.9687334393216747,1076.5635231649287,1764.46819103107,651.4949936787367,2062.8572070077535,0,0,True
c0_e0p25_x0p666667,True,,Arsenal,2064.825595161615,1887,0.9602543720190779,1077.1628179417426,1781.7458568270888,651.4949936787367,2086.597202867123,0,0,True
c0_e0p25_x1,True,,Arsenal,2078.1316792568678,1887,0.9517753047164812,1077.1628179417426,1798.5997814267125,651.4949936787367,2118.7236057924683,0,2,False
c0_e0p5_x0,True,,Arsenal,2083.5569787194036,1887,0.9772125066242713,1075.827613869686,1747.6534859063288,651.4949936787367,2082.1462543083276,0,0,True
c0_e0p5_x0p333333,True,,Arsenal,2098.2856056146024,1887,0.9634340222575517,1076.5635231649287,1764.46819103107,651.4949936787367,2108.417370353576,0,0,True
c0_e0p5_x0p666667,True,,Arsenal,2113.0142325098013,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2141.2473568531777,0,0,True
c0_e0p5_x1,True,,Arsenal,2127.742859405,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2177.732416576023,0,2,False
c0_e0p75_x0,True,,Arsenal,2128.9005304676966,1887,0.972972972972973,1075.827613869686,1747.6534859063288,651.4949936787367,2125.1752974682704,0,0,True
c0_e0p75_x0p333333,True,,Arsenal,2145.0517001628423,1887,0.9623741388447271,1076.5635231649287,1764.46819103107,651.4949936787367,2157.870226835532,0,0,True
