candidate,pilot_guardrails_pass,pilot_guardrail_violations,pilot_top_team,pilot_top_rating,ratings,reference_band_share,median_rating,p90_rating,minimum_rating,maximum_rating,exact_500_or_2000_count,elite_duplicate_rating_count,distribution_guardrails_pass
c0p25_e0p75_x0,True,,Arsenal,2129.0098601044147,1887,0.972972972972973,1075.827613869686,1747.6534859063288,651.4949936787367,2125.1752974682704,0,0,True
c0p25_e0p75_x0p333333,True,,Arsenal,2145.1415934196993,1887,0.9623741388447271,1076.5635231649287,1764.46819103107,651.4949936787367,2157.870226835532,0,0,True
c0p25_e0p75_x0p666667,True,,Arsenal,2161.2733267349836,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2197.3057270975546,0,0,True
c0p25_e0p75_x1,True,,Arsenal,2177.405060050268,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2236.741227359578,0,2,False
c0p25_e1_x0,True,,Arsenal,2174.3534118527077,1887,0.9703232644409115,1075.827613869686,1747.6534859063288,651.4949936787367,2168.5922157395303,0,0,True
c0p25_e1_x0p333333,True,,Arsenal,2191.9076879679387,1887,0.9618441971383148,1076.5635231649287,1764.46819103107,651.4949936787367,2210.978156540731,0,0,True
c0p25_e1_x0p666667,True,,Arsenal,2209.4619640831697,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2253.364097341932,0,0,True
c0p25_e1_x1,True,,Arsenal,2227.0162401984003,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2295.7500381431328,0,2,False
c0p5_e0_x0,True,,Arsenal,1993.0885117889532,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True
c0p5_e0_x0p333333,True,,Arsenal,2004.9331843613904,1887,0.9809220985691574,1076.5635231649287,1764.46819103107,651.4949936787367,2017.2970436619319,0,0,True
c0p5_e0_x0p666667,True,,Arsenal,2016.7778569338277,1887,0.9607843137254902,1077.1628179417426,1781.7458568270888,651.4949936787367,2038.5059193354223,0,0,True
c0p5_e0_x1,True,,Arsenal,2028.622529506265,1887,0.9523052464228935,1077.1628179417426,1798.5997814267125,651.4949936787367,2059.714795008913,0,19,False
c0p5_e0p25_x0,True,,Arsenal,2038.4320635372464,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True
c0p5_e0p25_x0p333333,True,,Arsenal,2051.6992789096303,1887,0.9687334393216747,1076.5635231649287,1764.46819103107,651.4949936787367,2062.8572070077535,0,0,True
c0p5_e0p25_x0p666667,True,,Arsenal,2064.966494282014,1887,0.9602543720190779,1077.1628179417426,1781.7458568270888,651.4949936787367,2086.597202867123,0,0,True
c0p5_e0p25_x1,True,,Arsenal,2078.233709654398,1887,0.9517753047164812,1077.1628179417426,1798.5997814267125,651.4949936787367,2118.7236057924683,0,2,False
c0p5_e0p5_x0,True,,Arsenal,2083.77561528554,1887,0.9772125066242713,1075.827613869686,1747.6534859063288,651.4949936787367,2082.1462543083276,0,0,True
c0p5_e0p5_x0p333333,True,,Arsenal,2098.46537345787,1887,0.9634340222575517,1076.5635231649287,1764.46819103107,651.4949936787367,2108.417370353576,0,0,True
c0p5_e0p5_x0p666667,True,,Arsenal,2113.1551316302002,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2141.2473568531777,0,0,True
c0p5_e0p5_x1,True,,Arsenal,2127.844889802531,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2177.732416576023,0,2,False
c0p5_e0p75_x0,True,,Arsenal,2129.119167033833,1887,0.972972972972973,1075.827613869686,1747.6534859063288,651.4949936787367,2125.1752974682704,0,0,True
c0p5_e0p75_x0p333333,True,,Arsenal,2145.23146800611,1887,0.9623741388447271,1076.5635231649287,1764.46819103107,651.4949936787367,2157.870226835532,0,0,True
c0p5_e0p75_x0p666667,True,,Arsenal,2161.343768978387,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2197.3057270975546,0,0,True
c0p5_e0p75_x1,True,,Arsenal,2177.4560699506633,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2236.741227359578,0,2,False
c0p5_e1_x0,True,,Arsenal,2174.462718782126,1887,0.9703232644409115,1075.827613869686,1747.6534859063288,651.4949936787367,2168.5922157395303,0,0,True
c0p5_e1_x0p333333,True,,Arsenal,2191.9975625543493,1887,0.9618441971383148,1076.5635231649287,1764.46819103107,651.4949936787367,2210.978156540731,0,0,True
c0p5_e1_x0p666667,True,,Arsenal,2209.5324063265725,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2253.364097341932,0,0,True
c0p5_e1_x1,True,,Arsenal,2227.0672500987957,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2295.7500381431328,0,2,False
c0p75_e0_x0,True,,Arsenal,1993.1977960393401,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True
c0p75_e0_x0p333333,True,,Arsenal,2005.0230403005976,1887,0.9809220985691574,1076.5635231649287,1764.46819103107,651.4949936787367,2017.2970436619319,0,0,True
c0p75_e0_x0p666667,True,,Arsenal,2016.848284561855,1887,0.9607843137254902,1077.1628179417426,1781.7458568270888,651.4949936787367,2038.5059193354223,0,0,True
c0p75_e0_x1,True,,Arsenal,2028.6735288231125,1887,0.9523052464228935,1077.1628179417426,1798.5997814267125,651.4949936787367,2059.714795008913,0,19,False
c0p75_e0p25_x0,True,,Arsenal,2038.5413477876336,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True
c0p75_e0p25_x0p333333,True,,Arsenal,2051.7891348488374,1887,0.9687334393216747,1076.5635231649287,1764.46819103107,651.4949936787367,2062.8572070077535,0,0,True
c0p75_e0p25_x0p666667,True,,Arsenal,2065.036921910041,1887,0.9602543720190779,1077.1628179417426,1781.7458568270888,651.4949936787367,2086.597202867123,0,0,True
c0p75_e0p25_x1,True,,Arsenal,2078.284708971245,1887,0.9517753047164812,1077.1628179417426,1798.5997814267125,651.4949936787367,2118.7236057924683,0,2,False
c0p75_e0p5_x0,True,,Arsenal,2083.884899535927,1887,0.9772125066242713,1075.827613869686,1747.6534859063288,651.4949936787367,2082.1462543083276,0,0,True
c0p75_e0p5_x0p333333,True,,Arsenal,2098.5552293970773,1887,0.9634340222575517,1076.5635231649287,1764.46819103107,651.4949936787367,2108.417370353576,0,0,True
c0p75_e0p5_x0p666667,True,,Arsenal,2113.225559258228,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2141.2473568531777,0,0,True
c0p75_e0p5_x1,True,,Arsenal,2127.895889119378,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2177.732416576023,0,2,False
c0p75_e0p75_x0,True,,Arsenal,2129.2284512842202,1887,0.972972972972973,1075.827613869686,1747.6534859063288,651.4949936787367,2125.1752974682704,0,0,True
c0p75_e0p75_x0p333333,True,,Arsenal,2145.321323945317,1887,0.9623741388447271,1076.5635231649287,1764.46819103107,651.4949936787367,2157.870226835532,0,0,True
c0p75_e0p75_x0p666667,True,,Arsenal,2161.414196606414,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2197.3057270975546,0,0,True
c0p75_e0p75_x1,True,,Arsenal,2177.507069267511,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2236.741227359578,0,2,False
c0p75_e1_x0,True,,Arsenal,2174.5720030325133,1887,0.9703232644409115,1075.827613869686,1747.6534859063288,651.4949936787367,2168.5922157395303,0,0,True
c0p75_e1_x0p333333,True,,Arsenal,2192.0874184935565,1887,0.9618441971383148,1076.5635231649287,1764.46819103107,651.4949936787367,2210.978156540731,0,0,True
c0p75_e1_x0p666667,True,,Arsenal,2209.6028339545996,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2253.364097341932,0,0,True
c0p75_e1_x1,True,,Arsenal,2227.118249415643,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2295.7500381431328,0,2,False
c1_e0_x0,True,,Arsenal,1993.307057638899,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True
c1_e0_x0p333333,True,,Arsenal,2005.1128776157905,1887,0.9809220985691574,1076.5635231649287,1764.46819103107,651.4949936787367,2017.2970436619319,0,0,True
c1_e0_x0p666667,True,,Arsenal,2016.9186975926818,1887,0.9607843137254902,1077.1628179417426,1781.7458568270888,651.4949936787367,2038.5059193354223,0,0,True
c1_e0_x1,True,,Arsenal,2028.7245175695732,1887,0.9523052464228935,1077.1628179417426,1798.5997814267125,651.4949936787367,2059.714795008913,0,19,False
c1_e0p25_x0,True,,Arsenal,2038.6506093871926,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True
c1_e0p25_x0p333333,True,,Arsenal,2051.8789721640305,1887,0.9687334393216747,1076.5635231649287,1764.46819103107,651.4949936787367,2062.8572070077535,0,0,True
c1_e0p25_x0p666667,True,,Arsenal,2065.107334940868,1887,0.9602543720190779,1077.1628179417426,1781.7458568270888,651.4949936787367,2086.597202867123,0,0,True
c1_e0p25_x1,True,,Arsenal,2078.335697717706,1887,0.9517753047164812,1077.1628179417426,1798.5997814267125,651.4949936787367,2118.7236057924683,0,2,False
c1_e0p5_x0,True,,Arsenal,2083.994161135486,1887,0.9772125066242713,1075.827613869686,1747.6534859063288,651.4949936787367,2082.1462543083276,0,0,True
c1_e0p5_x0p333333,True,,Arsenal,2098.6450667122704,1887,0.9634340222575517,1076.5635231649287,1764.46819103107,651.4949936787367,2108.417370353576,0,0,True
c1_e0p5_x0p666667,True,,Arsenal,2113.2959722890546,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2141.2473568531777,0,0,True
c1_e0p5_x1,True,,Arsenal,2127.946877865839,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2177.732416576023,0,2,False
c1_e0p75_x0,True,,Arsenal,2129.337712883779,1887,0.972972972972973,1075.827613869686,1747.6534859063288,651.4949936787367,2125.1752974682704,0,0,True
c1_e0p75_x0p333333,True,,Arsenal,2145.41116126051,1887,0.9623741388447271,1076.5635231649287,1764.46819103107,651.4949936787367,2157.870226835532,0,0,True
c1_e0p75_x0p666667,True,,Arsenal,2161.4846096372407,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2197.3057270975546,0,0,True
c1_e0p75_x1,True,,Arsenal,2177.5580580139717,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2236.741227359578,0,2,False
c1_e1_x0,True,,Arsenal,2174.6812646320723,1887,0.9703232644409115,1075.827613869686,1747.6534859063288,651.4949936787367,2168.5922157395303,0,0,True
c1_e1_x0p333333,True,,Arsenal,2192.1772558087496,1887,0.9618441971383148,1076.5635231649287,1764.46819103107,651.4949936787367,2210.978156540731,0,0,True
c1_e1_x0p666667,True,,Arsenal,2209.673246985427,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2253.364097341932,0,0,True
c1_e1_x1,True,,Arsenal,2227.169238162104,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2295.7500381431328,0,2,False
