fold,test_season,power_carry,matches,brier_1x2,log_loss_1x2,start_end_rank_correlation,max_abs_rating_change,expected_score_brier,ranking_guardrail_pass,movement_guardrail_pass,eligible
1,2020/21,0.75,1456,0.5782494140364409,0.9727373415414992,0.9462678871162282,471.46926628802817,0.15687455099868736,True,True,True
1,2020/21,0.85,1456,0.5782594564573054,0.972732573936249,0.9453826585343428,471.46926628802817,0.1568737220941461,True,True,True
1,2020/21,0.9,1456,0.5782783926208394,0.972750616535824,0.9450941930086776,471.46926628802817,0.15687974263048138,True,True,True
1,2020/21,1.0,1456,0.5783438411471682,0.9728274618340362,0.9444784994023355,471.46926628802817,0.15690451739055852,True,True,True
1,2020/21,0.5,1456,0.578388660244009,0.9729883040262916,0.9481609421284068,471.46926628802817,0.15695282224795967,True,True,True
1,2020/21,0.25,1456,0.5787349404083788,0.9735805141300017,0.9481744639499224,471.46926628802817,0.1571419050726227,True,True,True
1,2020/21,0.0,1456,0.5793457676897098,0.9744714632462591,0.9465157871773467,471.46926628802817,0.15744342545200785,True,True,True
2,2021/22,1.0,1996,0.5654510481237267,0.9546807956962247,0.9428567822752358,473.362142497803,0.15840165490215752,True,True,True
2,2021/22,0.9,1996,0.565540318207215,0.9548854465117996,0.9437131643045547,473.362142497803,0.1584314516930734,True,True,True
2,2021/22,0.85,1996,0.5656139247429257,0.9550298304406227,0.9440322792923219,473.362142497803,0.15845979213771988,True,True,True
2,2021/22,0.75,1996,0.5658125467070838,0.9553925256672609,0.9450617406370401,473.362142497803,0.1585404161817169,True,True,True
2,2021/22,0.5,1996,0.5664736318070349,0.9565920923106714,0.946734840685899,473.362142497803,0.15885715454822324,True,True,True
2,2021/22,0.25,1996,0.5674558417246711,0.9581290362823757,0.9471161560526377,473.362142497803,0.15929483253696428,True,True,True
2,2021/22,0.0,1996,0.5686079653368686,0.959893938082053,0.945549427666368,473.362142497803,0.15981405908862684,True,True,True
3,2022/23,0.75,2812,0.5687748425853353,0.959355185592106,0.936116604977112,473.362142497803,0.1576502835234332,True,True,True
3,2022/23,0.85,2812,0.5688173955992354,0.9592825526705606,0.9330823082290199,473.362142497803,0.157648429060716,True,True,True
3,2022/23,0.9,2812,0.5689031390821863,0.9593281854688729,0.9318265817376081,473.362142497803,0.15767474225759515,True,True,True
3,2022/23,0.5,2812,0.5691825314609249,0.9602368210021561,0.9399270542801974,473.362142497803,0.15788364931022472,True,True,True
3,2022/23,1.0,2812,0.569228693225398,0.959637720310611,0.9277213567254835,473.362142497803,0.15779392095910552,True,True,True
3,2022/23,0.25,2812,0.5700300368565129,0.9617227782922485,0.9421635635588713,473.362142497803,0.15831466128120605,True,True,True
3,2022/23,0.0,2812,0.5711729132422978,0.9635463587068875,0.9425079192801343,473.362142497803,0.15886378908420629,True,True,True
4,2023/24,0.85,3616,0.5725083614721702,0.964663424127172,0.9232884795634537,480.29908351571703,0.15867033696248015,True,True,True
4,2023/24,0.9,3616,0.5725193300958048,0.9646206848690089,0.9206786504403791,488.4976756585477,0.1586628487555474,True,True,True
4,2023/24,0.75,3616,0.5726158757889186,0.9649298251679804,0.9277918815435465,473.362142497803,0.15874036792722981,True,True,True
4,2023/24,1.0,3616,0.5727111045968509,0.9647788529994314,0.9141279888282997,505.5281640541084,0.15872169217810542,True,True,True
4,2023/24,0.5,3616,0.5733729704775946,0.9662587913693608,0.9386078255028973,473.362142497803,0.15912082590419915,True,True,True
4,2023/24,0.25,3616,0.5745166009101496,0.9680879731890337,0.9421635635588713,473.362142497803,0.1596618062994751,True,True,True
4,2023/24,0.0,3616,0.5759108147929501,0.9702303846924971,0.9425079192801343,473.362142497803,0.16030947010903854,True,True,True
5,2024/25,0.9,4422,0.5689973743537218,0.9597459434531579,0.9124997365888612,493.15507300794593,0.15758101965873467,True,True,True
5,2024/25,0.85,4422,0.5690710552976327,0.9598155733276822,0.915039722399781,485.0540022047303,0.15759185742160048,True,True,True
5,2024/25,1.0,4422,0.569187350454299,0.9599498096281104,0.9058407029916483,510.0197179921404,0.15766900941415882,True,True,True
5,2024/25,0.75,4422,0.5692841069912633,0.9602054883443445,0.9198658827551167,475.01845433796007,0.15769218353523196,True,True,True
5,2024/25,0.5,4422,0.5704554657391827,0.9620903842102537,0.9286396980488845,475.01845433796007,0.15822351710807853,True,True,True
5,2024/25,0.25,4422,0.5721157800762254,0.9646584683667778,0.9344342748232806,475.01845433796007,0.15896675783378175,True,True,True
5,2024/25,0.0,4422,0.5740955500068027,0.967669332943074,0.937453785979035,475.01845433796007,0.15984947466024418,True,True,True
6,2025/26,0.85,5379,0.5690096666506443,0.9600751293874437,0.9079742727110884,485.0540022047303,0.15964219543881705,True,True,True
6,2025/26,0.75,5379,0.5690640177193509,0.9601886510313867,0.9167934924018678,475.01845433796007,0.1596515880691185,True,True,True
6,2025/26,0.9,5379,0.5691033792050829,0.9602052138402012,0.9045104922238401,493.15507300794593,0.159693694271984,True,True,True
6,2025/26,1.0,5379,0.5696351381710449,0.9610148260279199,0.8953525633710234,510.0197179921404,0.15995624797440983,True,True,True
6,2025/26,0.5,5379,0.5700446796670456,0.9617386380406341,0.9286396980488845,475.01845433796007,0.16006711926202893,True,True,True
6,2025/26,0.25,5379,0.5716363939763174,0.964169856869513,0.9344342748232806,475.01845433796007,0.16076401201132964,True,True,True
6,2025/26,0.0,5379,0.5735768541281766,0.967087395261651,0.937453785979035,475.01845433796007,0.16162185903153675,True,True,True
