fold,test_season,selected_power_carry,matches,candidate_expected_score_brier,baseline_expected_score_brier,start_end_rank_correlation,max_abs_rating_change
1,2020/21,0.75,540,0.16530991060757647,0.16839323247663243,0.9560829266269906,435.08291301433974
2,2021/22,1.0,816,0.15630735606899296,0.15653935412241296,0.9277213567254835,398.78154066545676
3,2022/23,0.75,804,0.16255295168777212,0.1653657574744966,0.9277918815435465,464.50671620836147
4,2023/24,0.85,806,0.15355498778624438,0.15785936015033125,0.9144431254375553,457.60049592529003
5,2024/25,0.9,957,0.16945570800217064,0.16981149716095761,0.9045104922238401,434.13307299931284
6,2025/26,0.85,961,0.17057358927073096,0.1750262592830677,0.908529354033241,506.3378533270459
