fold,train_seasons,test_season,core_scale,core_home_advantage,core_k,selected_power_carry,train_brier_1x2,train_log_loss_1x2
1,2018/19|2019/20,2020/21,1021.2418300653596,185.68033273915628,103.98098633392752,0.75,0.5782494140364409,0.9727373415414992
2,2018/19|2019/20|2020/21,2021/22,928.4016636957816,148.54426619132505,103.98098633392752,1.0,0.5654510481237267,0.9546807956962247
3,2018/19|2019/20|2020/21|2021/22,2022/23,928.4016636957816,148.54426619132505,103.98098633392752,0.75,0.5687748425853353,0.959355185592106
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,928.4016636957816,148.54426619132505,103.98098633392752,0.85,0.5725083614721702,0.964663424127172
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,835.5614973262034,148.54426619132505,103.98098633392752,0.9,0.5689973743537218,0.9597459434531579
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,835.5614973262034,148.54426619132505,103.98098633392752,0.85,0.5690096666506443,0.9600751293874437
