power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
0.0,ALL,0.24,1.0,6340,0.5757038957316503,0.9700199031593156,0.040000000000000036
0.0,ALL,0.26,1.0,6340,0.5758254419243377,0.9704034021936302,0.020000000000000018
0.0,ALL,0.26,1.25,6340,0.5759886859620855,0.9707779038587131,0.02500000000000002
0.0,ALL,0.24,1.25,6340,0.5761350322700419,0.9711875075207032,0.04500000000000003
0.0,ALL,0.22,1.0,6340,0.5764779917075391,0.9715866605339247,0.060000000000000026
0.0,ALL,0.26,1.5,6340,0.5763749233182279,0.9720621542436351,0.03000000000000002
0.0,ALL,0.28,1.25,6340,0.5766912402003193,0.9720802566494886,0.005
0.0,ALL,0.28,1.0,6340,0.5768426302856013,0.9725529525169374,0.0
0.0,ALL,0.28,1.5,6340,0.5768255138848789,0.972650692820834,0.01
0.0,ALL,0.24,1.5,6340,0.57673299412099,0.9731470341470067,0.05000000000000004
0.0,ALL,0.22,1.25,6340,0.5771302791241886,0.9734997073160078,0.06500000000000003
0.0,ALL,0.3,1.5,6340,0.578084765820943,0.9747658519811898,0.029999999999999964
0.0,ALL,0.3,1.25,6340,0.578242694984743,0.97495224522063,0.024999999999999963
0.0,ALL,0.2,1.0,6340,0.5781477298520041,0.9753541466665737,0.08000000000000002
0.0,ALL,0.28,2.0,6340,0.5776172606176139,0.9760926441821849,0.02
0.0,ALL,0.22,1.5,6340,0.5778997262931648,0.976099804730118,0.07000000000000002
0.0,ALL,0.3,1.0,6340,0.5787554608154413,0.976334023454477,0.019999999999999962
0.0,ALL,0.26,2.0,6340,0.5775392500387706,0.9766684592594536,0.04000000000000002
0.0,ALL,0.3,2.0,6340,0.5784379120541994,0.9769849668274684,0.039999999999999966
0.0,ALL,0.2,1.25,6340,0.5789744265245251,0.977970346184091,0.08500000000000002
0.0,ALL,0.32,1.5,6340,0.5801526791264201,0.9782971593479851,0.04999999999999998
0.0,ALL,0.24,2.0,6340,0.5782038803176697,0.978864356446358,0.06000000000000004
0.0,ALL,0.32,2.0,6340,0.580001204348527,0.9792290531662833,0.059999999999999984
0.0,ALL,0.32,1.25,6340,0.580643050315357,0.9792886657320735,0.04499999999999998
0.0,ALL,0.2,1.5,6340,0.5798751198347528,0.9811796115885286,0.09000000000000001
0.0,ALL,0.32,1.0,6340,0.5815639335138575,0.9816509528902708,0.03999999999999998
0.0,ALL,0.18,1.0,6340,0.5807131101650456,0.9816649818172013,0.10000000000000003
0.0,ALL,0.34,2.0,6340,0.5823071375005967,0.9827362252885042,0.08
0.0,ALL,0.22,2.0,6340,0.5796111514543109,0.982879319893587,0.08000000000000003
0.0,ALL,0.34,1.5,6340,0.5830292538013102,0.9831627436832523,0.06999999999999999
0.0,ALL,0.18,1.25,6340,0.5816674744710518,0.9849465690588969,0.10500000000000004
0.0,ALL,0.34,1.25,6340,0.5838923061921611,0.985013896018843,0.065
0.0,ALL,0.36,2.0,6340,0.5853557115104087,0.9874400099087556,0.09999999999999996
