season,competition,team_id,matches,raw_score_rate,home_edge_training_matches,leave_team_out_home_edge,venue_neutral_score_rate,mean_opponent_strength,schedule_adjusted_score_unshrunk,schedule_adjusted_score,target_reliability
2018/19,UCL,1,4,0.375,211,0.05627705627705628,0.375,0.5,0.375,0.4166666666666667,0.6666666666666666
2018/19,UCL,5,1,0.0,214,0.05982905982905982,-0.05982905982905982,0.43711843711843706,-0.12271062271062277,0.29242979242979245,0.3333333333333333
2018/19,UCL,8,2,0.0,213,0.057939914163090134,0.0,0.5,-2.7755575615628914e-17,0.25,0.5
2018/19,UCL,13,4,0.75,211,0.05844155844155844,0.7500000000000001,0.546875,0.796875,0.6979166666666666,0.6666666666666666
2018/19,UCL,16,2,0.0,213,0.057939914163090134,0.0,0.65,0.15000000000000002,0.325,0.5
2018/19,UCL,20,6,0.5833333333333334,209,0.061135371179039305,0.5833333333333334,0.4791666666666667,0.5625,0.546875,0.75
2018/19,UCL,21,6,0.5,209,0.06331877729257643,0.5000000000000001,0.5305555555555556,0.5305555555555556,0.5229166666666667,0.75
2018/19,UCL,27,6,0.4166666666666667,209,0.061135371179039305,0.4166666666666667,0.45,0.36666666666666664,0.39999999999999997,0.75
2018/19,UCL,29,2,0.25,213,0.055793991416309016,0.25,0.675,0.42500000000000004,0.4625,0.5
2018/19,UCL,33,2,0.25,213,0.055793991416309016,0.25,0.4375,0.1875,0.34375,0.5
2018/19,UCL,36,4,0.625,211,0.05627705627705628,0.625,0.5,0.625,0.5833333333333334,0.6666666666666666
2018/19,UCL,38,6,0.6666666666666666,209,0.05895196506550219,0.6666666666666666,0.5680555555555555,0.7347222222222222,0.6760416666666667,0.75
2018/19,UCL,43,2,0.5,213,0.0536480686695279,0.5,0.3333333333333333,0.33333333333333337,0.4166666666666667,0.5
2018/19,UCL,48,2,0.25,213,0.055793991416309016,0.25,0.4166666666666667,0.1666666666666667,0.33333333333333337,0.5
2018/19,UCL,50,6,0.4166666666666667,209,0.056768558951965066,0.4166666666666667,0.5,0.4166666666666667,0.4375,0.75
2018/19,UCL,53,2,0.25,213,0.055793991416309016,0.25,0.5,0.25,0.375,0.5
2018/19,UCL,58,13,0.6538461538461539,203,0.04484304932735426,0.6538461538461537,0.6358974358974359,0.7897435897435897,0.7511111111111111,0.8666666666666667
2018/19,UCL,59,10,0.75,205,0.057777777777777775,0.75,0.5166666666666666,0.7666666666666666,0.7222222222222222,0.8333333333333334
2018/19,UCL,60,10,0.45,205,0.06666666666666667,0.45,0.5515476190476191,0.5015476190476191,0.5012896825396826,0.8333333333333334
2018/19,UCL,61,13,0.5384615384615384,203,0.05605381165919283,0.5384615384615384,0.6183836996336995,0.6568452380952382,0.6359325396825398,0.8666666666666667
2018/19,UCL,62,2,0.0,213,0.057939914163090134,0.0,0.4166666666666667,-0.08333333333333331,0.20833333333333337,0.5
2018/19,UCL,69,2,0.0,213,0.057939914163090134,0.0,0.4166666666666667,-0.08333333333333331,0.20833333333333337,0.5
2018/19,UCL,71,4,0.625,211,0.060606060606060615,0.625,0.46875,0.59375,0.5625,0.6666666666666666
2018/19,UCL,74,6,0.08333333333333333,209,0.061135371179039305,0.08333333333333333,0.4583333333333333,0.041666666666666685,0.15625,0.75
2018/19,UCL,76,8,0.5,207,0.05947136563876652,0.49999999999999994,0.5535714285714286,0.5535714285714285,0.5428571428571428,0.8
2018/19,UCL,78,8,0.625,207,0.05947136563876652,0.625,0.5619791666666667,0.6869791666666667,0.6495833333333334,0.8
2018/19,UCL,83,2,0.5,213,0.0536480686695279,0.5,0.4166666666666667,0.4166666666666667,0.45833333333333337,0.5
