model,competition,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,spearman_delta,pairwise_delta
baseline,UCL,0.4599515810847877,0.6627125802644971,0.5007936507936508,0.23445296360550583,0.0,0.0
selected,UCL,0.4599515810847877,0.6627125802644971,0.5007936507936508,0.23445296360550583,0.0,0.0
baseline,UECL,0.4345974095716933,0.6524329865876999,0.5121762695887828,0.24247165421514932,0.0,0.0
selected,UECL,0.4345974095716933,0.6524329865876999,0.5121762695887828,0.24247165421514932,0.0,0.0
baseline,UEL,0.49642697125771545,0.6727610079762565,0.5037199480181936,0.22631679685346454,0.0,0.0
selected,UEL,0.49642697125771545,0.6727610079762565,0.5037199480181936,0.22631679685346454,0.0,0.0
