fold,train_seasons,test_season,selected_candidate,train_spearman,train_pairwise,train_eligible
1,2018/19|2019/20,2020/21,c0_e0_x0,0.4693125477198634,0.66478373492641,True
2,2018/19|2019/20|2020/21,2021/22,c0_e0_x0,0.45931012335855753,0.6614275495288846,True
3,2018/19|2019/20|2020/21|2021/22,2022/23,c0_e0_x0,0.45809402583231784,0.6601736501658927,True
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,c0_e0_x0,0.4480586398192215,0.6562534559370489,True
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,c0_e0_x0,0.46503680965878746,0.6629278364633839,True
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,c0_e0_x0,0.4707194782886979,0.6653815153114389,True
