candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count
c0_e0_x0,2018/19,UCL,79,0.5486993683339222,0.7150997150997151,0.45,0.21246595096939594,1,0.5443037974683544,0.0,0
c0_e0_x0,2018/19,UEL,213,0.3983467307048803,0.6548772361474191,0.5555555555555556,0.25010469703982896,30,0.23560250391236306,0.1650234741784038,4
c0_e0_x0,2018/19,UECL,0,,,0.0,,0,0.0,0.0,0
c0_e0_x0,2019/20,UCL,79,0.43859906837068213,0.6735959153902261,0.4,0.24835763499439184,3,0.31012658227848094,0.012658227848101259,0
c0_e0_x0,2019/20,UEL,213,0.36647477459937855,0.6377687157025625,0.42592592592592593,0.25684939055302075,25,0.26028169014084507,0.18272300469483568,6
c0_e0_x0,2019/20,UECL,0,,,0.0,,0,0.0,0.0,0
c0_e0_x0,2020/21,UCL,79,0.47436658147735195,0.6937452326468345,0.55,0.22784810126582283,1,0.07594936708860761,0.07594936708860761,0
c0_e0_x0,2020/21,UEL,213,0.42486918696819453,0.6806770743981243,0.5185185185185185,0.2440873724349225,34,0.23425849212924607,0.15644849489091409,7
c0_e0_x0,2020/21,UECL,0,,,0.0,,0,0.0,0.0,0
c0_e0_x0,2021/22,UCL,80,0.4528781510669788,0.6693324061196105,0.4,0.24500000000000002,0,0.0,0.0,0
c0_e0_x0,2021/22,UEL,58,0.39378221222270715,0.6489434219495569,0.4,0.25891795481569563,1,0.03448275862068967,0.03448275862068967,0
c0_e0_x0,2021/22,UECL,181,0.35534974420328447,0.6387478849407784,0.5,0.2581728274472696,31,0.2477276777757975,0.15879522366779533,4
c0_e0_x0,2022/23,UCL,78,0.3596810580384805,0.6356531447711202,0.55,0.25476660092044706,2,0.16666666666666666,0.08012820512820512,0
c0_e0_x0,2022/23,UEL,57,0.3559737546982147,0.6319396847155586,0.4,0.25238534933825796,5,0.21228070175438596,0.12280701754385963,0
c0_e0_x0,2022/23,UECL,177,0.34510956537959897,0.6339292337363697,0.4666666666666667,0.26084458488939954,19,0.26984834968777877,0.18465655664585193,6
c0_e0_x0,2023/24,UCL,78,0.4285030794746487,0.6683861459100958,0.45,0.232577251808021,2,0.141025641025641,0.11538461538461539,0
c0_e0_x0,2023/24,UEL,57,0.66644851023963,0.7565698478561549,0.5333333333333333,0.18436441982148358,3,0.3333333333333333,0.10526315789473684,0
c0_e0_x0,2023/24,UECL,178,0.3502162507537031,0.633656103286385,0.4666666666666667,0.2592160080797879,23,0.2900586223742062,0.17892037127503663,5
c0_e0_x0,2024/25,UCL,81,0.4713238154266587,0.6767270288397049,0.38095238095238093,0.23014784331656762,6,0.12654320987654322,0.08641975308641973,0
c0_e0_x0,2024/25,UEL,76,0.4414386443961296,0.6690251572327044,0.5263157894736842,0.2493074792243767,9,0.2858187134502923,0.17690058479532164,3
c0_e0_x0,2024/25,UECL,164,0.36294339832960587,0.6444986072423399,0.4634146341463415,0.25301160023795366,31,0.2686860739575138,0.1960070810385523,7
c0_e0_x0,2025/26,UCL,82,0.4332182888691667,0.6704918032786885,0.38095238095238093,0.24449732302201074,1,0.12804878048780488,0.12804878048780488,0
c0_e0_x0,2025/26,UEL,77,0.4300506417158352,0.6661484648270501,0.55,0.2420306965761511,6,0.22727272727272732,0.16233766233766234,0
c0_e0_x0,2025/26,UECL,164,0.328474240593087,0.6247219846022242,0.3902439024390244,0.26557852468768595,23,0.25795334040296924,0.1753711558854719,5
c0_e0_x0p333333,2018/19,UCL,79,0.5502194809743612,0.7154558404558404,0.45,0.21214548950488704,1,0.5443037974683544,0.0,0
c0_e0_x0p333333,2018/19,UEL,213,0.3976315117141233,0.6546722025731714,0.5555555555555556,0.25006061407569047,30,0.23513302034428796,0.1648669796557121,4
