model,competition,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,spearman_delta,pairwise_delta
baseline,UCL,0.4366618290588809,0.6690559602610091,0.451984126984127,0.23913952005547823,0.0,0.0
selected,UCL,0.4366618290588809,0.6690559602610091,0.451984126984127,0.23913952005547823,0.0,0.0
baseline,UECL,0.3484186398518559,0.6351107627616195,0.38116531165311657,0.25936470906841935,0.0,0.0
selected,UECL,0.3484186398518559,0.6351107627616195,0.38116531165311657,0.25936470906841935,0.0,0.0
baseline,UEL,0.4520938250401185,0.6755506084965249,0.48802794022092266,0.23851554536848127,0.0,0.0
selected,UEL,0.4520938250401185,0.6755506084965249,0.48802794022092266,0.23851554536848127,0.0,0.0
