fold,train_seasons,test_season,selected_candidate,train_spearman,train_pairwise,train_eligible
1,2018/19|2019/20,2020/21,c0_e0_x0,0.4380299855022158,0.6703353955849807,True
2,2018/19|2019/20|2020/21,2021/22,c0_e0_x0,0.4418926184090683,0.6759606482308137,True
3,2018/19|2019/20|2020/21|2021/22,2022/23,c0_e0_x0,0.4281517575497089,0.6680875113772031,True
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,c0_e0_x0,0.4095108496719728,0.6595258054681563,True
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,c0_e0_x0,0.4239532024354437,0.6648614508447007,True
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,c0_e0_x0,0.4241668830380028,0.6646206975547367,True
