arm,reference,segment,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,team_season,2074,437,0.0005126169779602782,-0.00025877970316701924,0.0012665777473461614,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,calendar_month,2074,43,0.0005126169779602782,-0.0008880850284909814,0.0019350017151602858,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,conservative_envelope,2074,,0.0005126169779602782,-0.0008880850284909814,0.0019350017151602858,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,tie_or_match,1454,751,0.0015272638153519982,-0.0026342229101647247,0.00580539780593669,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,team_season,1454,741,0.0015272638153519982,-0.0016154429826603393,0.00450450567091108,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,calendar_month,1454,16,0.0015272638153519982,-0.0030264988512203384,0.007096908319587879,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,conservative_envelope,1454,,0.0015272638153519982,-0.0030264988512203384,0.007096908319587879,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,tie_or_match,1454,751,0.00043097773927828863,-0.0009176496744353047,0.0017312848540376945,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,team_season,1454,741,0.00043097773927828863,-0.0005520343824426942,0.001405557529987979,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,calendar_month,1454,16,0.00043097773927828863,-0.0011944650743963394,0.0021957993681950643,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,conservative_envelope,1454,,0.00043097773927828863,-0.0011944650743963394,0.0021957993681950643,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,tie_or_match,3528,2457,-0.002320746430124889,-0.004706975222154982,3.961230365219051e-05,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,team_season,3528,939,-0.002320746430124889,-0.004053918526404185,-0.0006721001731343384,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,calendar_month,3528,45,-0.002320746430124889,-0.005692254719087711,0.0005002527508965879,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,conservative_envelope,3528,,-0.002320746430124889,-0.005692254719087711,0.0005002527508965879,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,tie_or_match,3528,2457,-0.0002983427660325489,-0.0009645101420269559,0.00039015844905670934,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,team_season,3528,939,-0.0002983427660325489,-0.0007403592560569703,0.00017304578071632127,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,calendar_month,3528,45,-0.0002983427660325489,-0.0011330561112512835,0.0004546381625784425,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,conservative_envelope,3528,,-0.0002983427660325489,-0.0011330561112512835,0.0004546381625784425,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,tie_or_match,1876,1628,-0.00674584759109298,-0.0103081142115524,-0.003175262399911707,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,team_season,1876,408,-0.00674584759109298,-0.009358412971770598,-0.004229667333833735,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,calendar_month,1876,35,-0.00674584759109298,-0.010277422419622264,-0.0032022350704385186,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,conservative_envelope,1876,,-0.00674584759109298,-0.0103081142115524,-0.003175262399911707,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,tie_or_match,1876,1628,-0.0007113565319289244,-0.0017270791921527773,0.00032744295284357504,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,team_season,1876,408,-0.0007113565319289244,-0.0014009969913120713,-1.0781228296177448e-05,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,calendar_month,1876,35,-0.0007113565319289244,-0.001977346416985062,0.0004885496769403095,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,conservative_envelope,1876,,-0.0007113565319289244,-0.001977346416985062,0.0004885496769403095,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,tie_or_match,1652,829,0.002704368447584638,2.9973653844102473e-05,0.005420287705621152,False,True
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,team_season,1652,779,0.002704368447584638,0.0007266577650419932,0.0046650415597400685,False,True
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,calendar_month,1652,10,0.002704368447584638,-0.0004584344585064376,0.005884717133451929,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,conservative_envelope,1652,,0.002704368447584638,-0.0004584344585064376,0.005884717133451929,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,tie_or_match,1652,829,0.00017067286642604663,-0.0006089502248128899,0.0009514506320961971,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,team_season,1652,779,0.00017067286642604663,-0.0003773130718322248,0.0007048659275167852,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,calendar_month,1652,10,0.00017067286642604663,-0.0007406526235488852,0.001193297524658947,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,conservative_envelope,1652,,0.00017067286642604663,-0.0007406526235488852,0.001193297524658947,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,tie_or_match,2074,1746,-0.005615247671187367,-0.009076028475485914,-0.0022944667168979115,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,team_season,2074,437,-0.005615247671187367,-0.008076432782117692,-0.0032193761008209314,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,calendar_month,2074,43,-0.005615247671187367,-0.008907591384353396,-0.0021164403072749627,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,conservative_envelope,2074,,-0.005615247671187367,-0.009076028475485914,-0.0021164403072749627,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,tie_or_match,2074,1746,-0.0005924597828045472,-0.0015565221229537928,0.0003427375777431602,False,False
