reserve_base,uel_multiplier,uecl_multiplier,stage_profile,reserve_decay,matches,brier,log_loss,advance_reserve_added,trophy_reserve_added,max_reserve,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation
0.0,0.65,0.45,FLAT,0.0,6340,0.16129914645971125,0.6159545030541498,0.0,0.0,0.0,9.094947017729282e-13,506.3378533270459,0.9079742727110884
74.27213309566253,0.5,0.25,LATE_STRICT,0.25,6340,0.16130834201264058,0.6159701982735946,4602.179178959515,457.5285482753449,176.6531237466831,9.094947017729282e-13,537.1991959743877,0.9078939319934084
74.27213309566253,0.5,0.45,LATE_STRICT,0.25,6340,0.16130988890190995,0.6159736342819885,4941.051390834204,489.1924023274276,176.6739290638912,9.094947017729282e-13,537.2076128970061,0.9078008097979156
74.27213309566253,0.65,0.25,LATE_STRICT,0.25,6340,0.1613120289764933,0.6159772301655806,5020.723590221012,499.61845820615275,176.6488284159607,9.094947017729282e-13,537.438772956491,0.9079477967927619
74.27213309566253,0.5,0.45,LATE_BALANCED,0.25,6340,0.16131264519543626,0.615972794181444,6868.3534644057645,488.5298405545525,194.85933598021927,9.094947017729282e-13,544.6977280200535,0.9076976450127129
74.27213309566253,0.65,0.45,LATE_STRICT,0.25,6340,0.16131356548518633,0.6159806430188509,5359.524338158791,531.2893801146984,176.66962808694248,9.094947017729282e-13,537.4471898401112,0.907776159804991
74.27213309566253,0.5,0.25,LATE_BALANCED,0.25,6340,0.16131448675040286,0.6159782316728759,6355.275259889486,456.8202403433076,194.80791002301586,9.094947017729282e-13,544.6801121605913,0.9076647783554803
74.27213309566253,0.65,0.6,LATE_STRICT,0.25,6340,0.16131484815587352,0.6159835194537416,5613.759811466616,555.232727453679,176.6854802477564,9.094947017729282e-13,537.4535392240723,0.9076976450127129
74.27213309566253,0.5,0.45,SEMIFINAL_HEAVY,0.25,6340,0.16131543812518467,0.6159835571711053,6000.468221265266,488.5648504238759,196.3979393300933,9.094947017729282e-13,548.479404872036,0.9077259468564411
74.27213309566253,0.8,0.25,LATE_STRICT,0.25,6340,0.1613159094554991,0.6159847469181913,5439.4894113323735,541.761588777951,176.64440519888106,9.094947017729282e-13,537.6785411418932,0.9078199820146348
74.27213309566253,0.5,0.25,SEMIFINAL_HEAVY,0.25,6340,0.1613159645370358,0.615985398679445,5564.395260535737,456.823978775482,196.37839629491873,9.094947017729282e-13,548.465449383044,0.9077935060963084
74.27213309566253,0.8,0.45,LATE_STRICT,0.25,6340,0.1613174355462118,0.6159881365513239,5778.218947038153,573.4388438686223,176.6651986603315,9.094947017729282e-13,537.6869572906239,0.9077213820429365
74.27213309566253,0.65,0.6,LATE_BALANCED,0.25,6340,0.16131810352029827,0.6159821351020471,7924.205864941117,554.5921440021134,194.89588473283845,9.094947017729282e-13,545.0802726872207,0.9075141395098302
111.40819964349377,0.5,0.25,LATE_STRICT,0.25,6340,0.1613181749062698,0.6159902975131102,6908.096815774852,682.0354357815345,261.10045148399405,9.094947017729282e-13,595.0694321296787,0.9078327634924475
74.27213309566253,0.8,0.6,LATE_STRICT,0.25,6340,0.16131871033585185,0.6159909953290776,6032.400721115843,597.387690038778,176.68104627353918,9.094947017729282e-13,537.6933062257576,0.907587176525903
74.27213309566253,0.65,0.45,LATE_BALANCED,0.25,6340,0.16131920956286308,0.6159855541749046,7539.132074303615,530.594039776342,194.85666440992384,9.094947017729282e-13,545.0670453498838,0.9075643524583803
74.27213309566253,0.65,0.6,SEMIFINAL_HEAVY,0.25,6340,0.1613206673037629,0.6159932369031309,6890.951282697914,554.7667448793061,196.4111480014524,9.094947017729282e-13,548.8053779643037,0.9074310599040475
111.40819964349377,0.5,0.45,LATE_STRICT,0.25,6340,0.1613206875866761,0.6159959325572344,7416.610540773933,729.905950363549,261.1403644180011,9.094947017729282e-13,595.0841336119288,0.9076620394673774
