competition,matches,model_brier,baseline_brier,brier_difference,log_loss_difference
UCL,1384,0.15779148423586314,0.15779148423586314,0.0,0.0
UECL,2073,0.16563092860372358,0.16563092860372358,0.0,0.0
UEL,1427,0.16478500301787166,0.16478500301787166,0.0,0.0
