fold,train_seasons,test_season,core_scale,core_home_advantage,core_k,power_carry,selected_reserve_base,selected_uel_multiplier,selected_uecl_multiplier,selected_stage_profile,selected_reserve_decay,train_brier_difference
1,2018/19|2019/20,2020/21,1021.2418300653596,185.68033273915628,103.98098633392752,0.85,0.0,0.65,0.45,FLAT,0.0,0.0
2,2018/19|2019/20|2020/21,2021/22,928.4016636957816,148.54426619132505,103.98098633392752,1.0,0.0,0.65,0.45,FLAT,0.0,0.0
3,2018/19|2019/20|2020/21|2021/22,2022/23,928.4016636957816,148.54426619132505,103.98098633392752,0.85,0.0,0.65,0.45,FLAT,0.0,0.0
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,928.4016636957816,148.54426619132505,103.98098633392752,0.9,0.0,0.65,0.45,FLAT,0.0,0.0
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,835.5614973262034,148.54426619132505,103.98098633392752,0.9,0.0,0.65,0.45,FLAT,0.0,0.0
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,835.5614973262034,148.54426619132505,103.98098633392752,0.85,0.0,0.65,0.45,FLAT,0.0,0.0
