goal_weight,goal_cap,matches,fold_wins,candidate_brier,baseline_brier,brier_difference,candidate_log_loss,baseline_log_loss,log_loss_difference,max_abs_rating_change,max_abs_match_delta,min_start_end_rank_correlation,ucl_brier_difference,uel_brier_difference,uecl_brier_difference
0.5,2.0,4884,5,0.16541703305169503,0.16575912527856548,-0.00034209222687045515,0.6223732802689232,0.6231630787677249,-0.0007897984988016587,142.6794618645738,44.32268864283151,0.92331478497446,-0.0009208030037325603,-0.0002207218142739599,-3.927498789189321e-05
0.5,1.75,4884,5,0.16542991285081476,0.16575912527856548,-0.00032921242775071913,0.6224009542678381,0.6231630787677249,-0.0007621244998866771,142.61608897180815,40.91224971121184,0.9236635367262069,-0.0009048274750343364,-0.00019695748865108706,-3.595462391770567e-05
0.25,1.75,4884,6,0.165493905362895,0.16575912527856548,-0.00026521991567049485,0.6225502402679137,0.6231630787677249,-0.00061283849981109,132.2392281435507,33.85055852461913,0.9313585692911784,-0.0005669228330332065,-0.0002021303622542886,-0.00010722278836447281
0.25,2.0,4884,6,0.165493905362895,0.16575912527856548,-0.00026521991567049485,0.6225502402679137,0.6231630787677249,-0.00061283849981109,132.2392281435507,33.85055852461913,0.9313585692911784,-0.0005669228330332065,-0.0002021303622542886,-0.00010722278836447281
0.25,1.5,4884,6,0.16549404473146706,0.16575912527856548,-0.000265080547098423,0.6225505557031569,0.6231630787677249,-0.0006125230645679439,132.2392281435507,33.85055852461913,0.9313585692911784,-0.0005665967604999981,-0.00020205299140053313,-0.00010716539159076011
0.5,1.5,4884,5,0.1655059986888178,0.16575912527856548,-0.00025312658974768754,0.6225734712766319,0.6231630787677249,-0.0005896074910930203,140.91436754420943,35.067642609610154,0.925915207368956,-0.000671597067204942,-0.00019400181313329116,-1.4442516147853e-05
0.75,2.0,4884,3,0.16553263989113928,0.16575912527856548,-0.00022648538742620072,0.622641763241211,0.6231630787677249,-0.0005213155265138985,152.91000396315246,46.7689347693014,0.9163561832681325,-0.0010369603905945768,-4.280431368487816e-05,0.00018817187844782834
0.25,1.25,4884,6,0.1655631863245433,0.16575912527856548,-0.00019593895402217343,0.6227083668452517,0.6231630787677249,-0.0004547119224732403,131.54059469828007,29.26758658922644,0.9320591258496476,-0.00041059284437793697,-0.00016774736615760106,-7.203563112299483e-05
0.75,1.75,4884,3,0.16557560567795623,0.16575912527856548,-0.00018351960060924988,0.6227346998957074,0.6231630787677249,-0.00042837887201743833,149.96332873575204,40.92281792313873,0.9194648212647273,-0.0007963229099966325,-9.178874034621728e-05,0.00016246199253963897
0.5,1.25,4884,5,0.16559364081111616,0.16575912527856548,-0.00016548446744932277,0.6227737387318483,0.6231630787677249,-0.00038934003587659104,134.32706015295184,31.181194050827198,0.9307479237348657,-0.00035070755257401943,-0.00018047655391481996,-3.150354260644878e-05
0.75,1.25,4884,5,0.16559364081111616,0.16575912527856548,-0.00016548446744932277,0.6227737387318483,0.6231630787677249,-0.00038934003587659104,134.32706015295184,31.181194050827198,0.9307479237348657,-0.00035070755257401943,-0.00018047655391481996,-3.150354260644878e-05
1.0,1.25,4884,5,0.16559364081111616,0.16575912527856548,-0.00016548446744932277,0.6227737387318483,0.6231630787677249,-0.00038934003587659104,134.32706015295184,31.181194050827198,0.9307479237348657,-0.00035070755257401943,-0.00018047655391481996,-3.150354260644878e-05
0.75,1.5,4884,4,0.16561738460623096,0.16575912527856548,-0.0001417406723345227,0.6228184707508704,0.6231630787677249,-0.00034460801685445977,146.2075813703019,37.41743286099264,0.9233093071982543,-0.0005099050227319943,-0.00016399450479748356,0.00011937639465798993
1.0,1.5,4884,4,0.16561738460623096,0.16575912527856548,-0.0001417406723345227,0.6228184707508704,0.6231630787677249,-0.00034460801685445977,146.2075813703019,37.41743286099264,0.9233093071982543,-0.0005099050227319943,-0.00016399450479748356,0.00011937639465798993
1.0,1.75,4884,3,0.16574577041755123,0.16575912527856548,-1.3354861014253094e-05,0.6231138704617758,0.6231630787677249,-4.920830594903198e-05,155.67846462658133,42.23548063492049,0.916021125956899,-0.000576571336496904,-1.0119963950508235e-05,0.0003604393521831441
0.0,1.0,4884,0,0.16575912527856548,0.16575912527856548,0.0,0.6231630787677249,0.6231630787677249,0.0,121.81563230123356,25.031501320787683,0.9376972949432089,0.0,0.0,0.0
1.0,2.0,4884,3,0.1657613285673703,0.16575912527856548,2.20328880481957e-06,0.623171672851116,0.6231630787677249,8.594083391063002e-06,159.1106757699872,47.050449521400765,0.9115859531558839,-0.0007966882375031109,0.00012731790124496754,0.00044944271015467127
