competition,matches,goal_margin_brier,core_brier,brier_difference,goal_margin_log_loss,core_log_loss,log_loss_difference
UCL,1384,0.1598394152771033,0.1607602182808359,-0.0009208030037325954,0.6037256020786839,0.6059640968328376,-0.0022384947541537192
UECL,2073,0.16675941885971088,0.1667986938476028,-3.927498789191297e-05,0.6298327721070206,0.6299438210482057,-0.0001110489411850768
UEL,1427,0.1688764985177204,0.16909722033199437,-0.00022072181427396087,0.6296226566073363,0.6299934307301964,-0.0003707741228601291
