goal_weight,goal_cap,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,start_end_rank_correlation
0.5,2.0,6340,0.16332084018914397,0.6210759178264115,-3.9128019327101084e-16,34.143963880203444,144.90308923174405,45.874858962745144,0.92331478497446
0.5,1.75,6340,0.16333762671291774,0.621111164884639,2.972011765694952e-17,34.06201782844146,144.9316673424396,42.34498724738361,0.9236635367262069
0.25,1.75,6340,0.1633900287202673,0.6212253427405955,4.850791332625435e-16,31.509758926074415,136.66342696982804,35.035997266339315,0.9311497135257525
0.25,2.0,6340,0.1633900287202673,0.6212253427405955,4.850791332625435e-16,31.509758926074415,136.66342696982804,35.035997266339315,0.9311497135257525
0.25,1.5,6340,0.16339026291168166,0.62122585935104,3.036573683307073e-16,31.509672156562356,136.66341051787765,35.035997266339315,0.9311497135257525
0.5,1.5,6340,0.16340251653298885,0.6212534261903829,3.3081068932898995e-16,33.459373964474466,142.94985428056907,36.29570335490023,0.9260171545691499
0.75,2.0,6340,0.1634543437189073,0.6214030947074879,1.8554585743915302e-16,36.581108985330374,152.54161912909592,48.39427113986697,0.9163561832681325
0.25,1.25,6340,0.163456840656677,0.6213761046205183,5.016328495364378e-19,31.189636869654667,135.6054855501494,30.24641946241686,0.932337288012569
0.5,1.25,6340,0.16347527729264122,0.6214122665244741,-6.201360260517509e-17,31.64577601542217,136.17959285095742,31.91320822783143,0.9308987119780656
0.75,1.25,6340,0.16347527729264122,0.6214122665244741,-6.201360260517509e-17,31.64577601542217,136.17959285095742,31.91320822783143,0.9308987119780656
1.0,1.25,6340,0.16347527729264122,0.6214122665244741,-6.201360260517509e-17,31.64577601542217,136.17959285095742,31.91320822783143,0.9308987119780656
0.75,1.75,6340,0.163478496394597,0.6214445799855065,1.024979458955297e-15,35.80664199054615,150.00989519061386,42.76805178626611,0.9194648212647273
0.75,1.5,6340,0.16349256816832713,0.6214508530575703,2.964583316028555e-16,34.40167531986533,144.10615910435763,38.295849873397714,0.9233093071982543
1.0,1.5,6340,0.16349256816832713,0.6214508530575703,2.964583316028555e-16,34.40167531986533,144.10615910435763,38.295849873397714,0.9233093071982543
1.0,1.75,6340,0.16362736431785257,0.6217804597901886,-1.5452920018765168e-16,36.88197651853717,151.3360721958286,43.22700682686019,0.916021125956899
0.0,1.0,6340,0.16365281343435142,0.6218366241900113,-6.02676093720453e-16,29.03815628863108,127.91296938412597,25.570420048846223,0.9375849061905133
1.0,2.0,6340,0.1636745638862209,0.621928865062711,9.653112646300679e-16,38.20346143570561,156.84327110368451,49.372904494754295,0.9115859531558839
