goal_difference,matches,share
0,1339,0.211198738170347
1,2384,0.3760252365930599
2,1348,0.21261829652996844
3,720,0.11356466876971609
4,330,0.052050473186119876
5,153,0.02413249211356467
6,46,0.007255520504731861
7,16,0.002523659305993691
8+,4,0.0006309148264984228
