competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,-0.00034209222687033144,-0.0008109804587449714,0.0001410369894243106,False,False
UCL,1384,-0.0009208030037325603,-0.00181415380084287,-5.015786631667091e-05,True,False
UECL,2073,-3.927498789189321e-05,-0.0007565173996193655,0.0006750645647890829,False,False
UEL,1427,-0.0002207218142739599,-0.001082167023553924,0.0006334608852659871,False,False
