fold,test_season,model,core_scale,core_home_advantage,core_k,goal_weight,goal_cap,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,start_end_rank_correlation
1,2020/21,goal_margin,275.0,50.0,28.0,0.5,2.0,540,0.16802601282439403,0.6044783215453322,0.0,29.657858957109795,142.2830524733182,44.32268864283151,0.9580057296465035
1,2020/21,core_baseline,275.0,50.0,28.0,0.0,1.0,540,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,24.270595316378085,0.9688962046951372
2,2021/22,goal_margin,250.0,40.0,28.0,0.5,2.0,816,0.15592660949366408,0.6152404482748092,1.9187651936137725e-15,33.564506715730545,124.9674719971523,41.38707821973247,0.9294764891582035
2,2021/22,core_baseline,250.0,40.0,28.0,0.0,1.0,816,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,24.804118847972173,0.942049078803373
3,2022/23,goal_margin,250.0,40.0,28.0,0.5,2.0,804,0.1643528627141292,0.631752184167944,1.4637790264585755e-15,36.28659161078562,142.6794618645738,38.69251877340496,0.9309424604303989
3,2022/23,core_baseline,250.0,40.0,28.0,0.0,1.0,804,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,23.674136390009064,0.9433797049972867
4,2023/24,goal_margin,250.0,40.0,28.0,0.5,2.0,806,0.15776169677843063,0.6103646589179558,1.4575235605335388e-15,32.74930174238967,106.47180300859554,37.63101451426009,0.9242087714738616
4,2023/24,core_baseline,250.0,40.0,28.0,0.0,1.0,806,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,24.94495524066176,0.9376972949432089
5,2024/25,goal_margin,225.0,40.0,28.0,0.5,2.0,957,0.1697221405811638,0.6240067037161063,0.0,36.23378766730929,120.99487455324424,35.32070620063069,0.92331478497446
5,2024/25,core_baseline,225.0,40.0,28.0,0.0,1.0,957,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,25.031501320787683,0.9385119620937886
6,2025/26,goal_margin,225.0,40.0,28.0,0.5,2.0,961,0.17503320644196385,0.639083782301232,-2.4086194432545768e-15,39.01565498769634,124.91957339322846,39.34904222186178,0.9294389387721564
6,2025/26,core_baseline,225.0,40.0,28.0,0.0,1.0,961,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,24.613461623418893,0.9418661870569277
