pilot,teams,minimum,median,maximum,validation_warning_rows,v1_v2_rank_identical
synthetic,10,841.5141430601294,1356.925827714495,1914.7683621166716,0,True
real,10,1398.414730744317,1749.0431231975917,1992.8698752228167,0,True
